id,sk,cs,hu
9020,Relatívna permitivita,Relativní permitivita,Dielektromos állandó
9021,Dieppe (Seine-Maritime),Dieppe (Seine-Maritime),Dieppe
9022,Vylodenie pri Dieppe,Nájezd na Dieppe,Dieppe-i rajtaütés
9023,Dies irae (hymnus),Dies irae,Dies irae
9024,Dieselov cyklus,Dieselův cyklus,Diesel-ciklus
9025,Dietyléter,Diethylether,Dietil-éter
9026,Dietmanns,Dietmanns (Dolní Rakousy),Dietmanns
9027,Dieterich Buxtehude,Dietrich Buxtehude,Dietrich Buxtehude
9028,Dieulouard (obec),Dieulouard,Dieulouard
9029,Dieuze (obec),Dieuze,Dieuze
9030,Diferenciál,Diferenciál,Differenciál
9031,Diferenciálna rovnica,Diferenciální rovnice,Differenciálegyenlet
9032,Diferenciálna geometria,Diferenciální geometrie,Differenciálgeometria
9033,Diferenciál (automobil),Diferenciál (mechanika),Differenciálmű
9034,Difrakcia,Difrakce,Diffrakció
9035,Difúzia (fyzika),Difuze,Diffúzió
9036,Digama,Digama,Digamma
9037,Digital Visual Interface,DVI (konektor),Digital Visual Interface
9038,Číslicovosť (opak analógovosti),Digitální data,Digitális
9039,Digitálny fotoaparát,Digitální fotoaparát,Digitális fényképezőgép
9040,Digitálny signálny procesor,Digitální signálový procesor,Digitális jelprocesszor
9041,Digital rights management,Digital rights management,Digitális jogok kezelése
9042,Spracovanie obrazu,Digitální zpracování obrazu,Digitális képfeldolgozás
9043,Digitálna knižnica,Digitální knihovna,Digitális könyvtár
9044,Grafický tablet,Tablet (polohovací zařízení),Digitális rajztábla
9045,Digitálna televízia,Digitální televize,Digitális televíziózás
9046,Digitálna gramotnosť,Digitální gramotnost,Digitális írástudás
9047,Digne-les-Bains (obec),Digne-les-Bains,Digne-les-Bains
9048,Dijkstrov algoritmus,Dijkstrův algoritmus,Dijkstra-algoritmus
9049,Dijálá (guvernorát),Dijála,Dijála kormányzóság
9050,Dijódmetán,Dijodmethan,Dijódmetán
9051,Dikastérium pre službu integrálnemu ľudskému rozvoju,Dikasterium pro službu integrálnímu lidskému rozvoji,Dikasztérium az Átfogó Emberi Fejlődés Szolgálatában
9052,Oxid chlórny,Oxid chlorný,Diklór-monoxid
9053,Dichlórmetán,Dichlormethan,Diklórmetán
9054,Dikobraz (časopis),Dikobraz (časopis),Dikobraz
9055,Diktatúra,Diktatura,Diktatúra
9056,Diktys (Serifos),Diktys (mytologie),Diktüsz (mitológia)
9057,Diké,Diké,Diké (istennő)
9058,Dilma Rousseffová,Dilma Rousseffová,Dilma Rousseff
9059,Dilong (dinosaurus),Dilong,Dilong
9060,Bezrozmerná veličina,Bezrozměrná veličina,Dimenziómentes mennyiség
9061,Dimetyléter,Dimethylether,Dimetil-éter
9062,Dimetyltryptamín,Dimethyltryptamin,Dimetiltriptamin
9063,Dimităr Berbatov,Dimitar Berbatov,Dimitar Berbatov
9064,Dmitrij Fiodorovič Lavrinenko,Dmitrij Fjodorovič Lavriněnko,Dimitrij Fjodorovics Lavrinyenko
9065,Dimitrovgrad,Dimitrovgrad,Dimitrovgrad (egyértelműsítő lap)
9066,Suchohrad,Suchohrad,Dimvár
9067,Dimitrios Lundras,Dimitrios Lundras,Dimítriosz Lúndrasz
9068,Demetrius Vikelas,Demetrius Vikelas,Dimítriosz Vikélasz
9069,Dimitris Christofias,Dimitris Christofias,Dimítrisz Hrisztófiasz
9070,Dynamický systém,Dynamický systém,Dinamikai rendszer
9071,Dynamic-link library,DLL,Dinamikus csatolású könyvtár
9072,Dynamit,Dynamit,Dinamit
9073,Dynamo,Dynamo,Dinamó
9074,Operácia Dynamo,Operace Dynamo,Dinamó hadművelet
9075,Dinan (obec),Dinan,Dinan
9076,Dináre,Dinara,Dinara
9077,Dynastia,Dynastie,Dinasztia
9078,Dynasty,Dynasty,Dinasztia (egyértelműsítő lap)
9079,Dingo austrálsky,Dingo,Dingó
9080,Oxid dusný,Oxid dusný,Dinitrogén-oxid
9081,Oxid dusičný,Oxid dusičný,Dinitrogén-pentoxid
9082,Oxid dusitý,Oxid dusitý,Dinitrogén-trioxid
9083,Dinkovia,Dinkové,Dinkák
9084,Dinosaur Provincial Park,Dinosauří provinční park,Dinoszaurusz Tartományi Park
9085,Dinosaury,Dinosauři,Dinoszauruszok
9086,Zoznam dinosaurov,Seznam dinosaurů,Dinoszauruszok listája
9087,Dinárske pohoria,Dinárské hory,Dinári-hegység
9088,Disodné ribonukleotidy,Disodní ribonukleotidy,Dinátrium-5′-ribonukleotidok
9089,Diokleciánov palác,Diokleciánův palác,Diocletianus palotája
9090,Dioklecián,Diocletianus,Diocletianus római császár
9091,Diodóros Sicílsky,Diodóros Sicilský,Diodórosz (történetíró)
9092,Diogenes,Díogenés,Diogenész (egyértelműsítő lap)
9093,Diogenes Laertios,Díogenés Laertios,Diogenész Laertiosz
9094,Diol,Dioly,Diolok
9095,Diomédes (syn Tydea),Diomédes,Diomédész (Tüdeusz fia)
9096,Dionatan do Nascimento Teixeira,Dionatan Teixeira,Dionatan Teixeira
9097,Diona (mesiac),Dione (měsíc),Dione (hold)
9098,Dionysios,Dionysios,Dionüsziosz (egyértelműsítő lap)
9099,Dionysios z Halikarnasu,Dionýsios z Halikarnassu,Dionüsziosz Halikarnasszeusz (szónok)
9100,Dionýzos,Dionýsos,Dionüszosz
9101,Diopsid,Diopsid,Diopszid
9102,Dioskúrovia,Dioskúrové,Dioszkuroszok
9103,Diplodoky,Diplodocidae,Diplodocidae
9104,Diplomat,Diplomat,Diplomata
9105,Diplomacia,Diplomacie,Diplomácia
9106,Kengury,Dvojitozubci,Diprotodontia
9107,Diracova miera,Diracova míra,Dirac-mérték
9108,Pentózafosfátová dráha,Pentózofosfátový cyklus,Direkt oxidáció
9109,Dirk Kuyt,Dirk Kuijt,Dirk Kuijt
9110,Dirndl,Dirndl,Dirndli
9111,Dirt (album),"Dirt (album, Alice in Chains)",Dirt
9112,Discipline,Discipline,Discipline (egyértelműsítő lap)
9113,Discovery,Discovery,Discovery (egyértelműsítő lap)
9114,Discovery (raketoplán),Discovery (raketoplán),Discovery űrrepülőgép
9115,Program Discovery,Program Discovery,Discovery-program
9116,Diskurz (filozofia),Diskurz,Diskurzus
9117,Disneyland Park (Anaheim),Disneyland,Disneyland (Kalifornia)
9118,Diseminovaná intravaskulárna koagulopatia,Diseminovaná intravaskulární koagulace,Disszeminált intravaszkuláris koaguláció
9119,Dizertačná práca,Disertační práce,Disszertáció
9120,Disociácia,Disociace (rozcestník),Disszociáció (egyértelműsítő lap)
9121,Disociácia (chémia),Disociace,Disszociáció (kémia)
9122,District Line,District Line (linka metra v Londýně),District line
9123,Disacharid,Disacharidy,Diszacharid
9124,Študijný odbor,Vysokoškolský studijní program,Diszciplína
9125,Dísy,Dísy,Diszek
9126,Dysgrafia,Dysgrafie,Diszgráfia
9127,Disjunkcia (výroková spojka),Disjunkce,Diszjunkció
9128,Diskografia,Diskografie,Diszkográfia
9129,Nízkonákladová letecká spoločnosť,Nízkonákladová letecká společnost,Diszkont légitársaság
9130,Terčovec,Terčovec,Diszkoszhalak
9131,Hod diskom,Hod diskem,Diszkoszvetés
9132,Diskriminácia (znevýhodňovanie),Diskriminace,Diszkrimináció
9133,Diskriminant (matematika),Diskriminant,Diszkrimináns
9134,Diskrétna matematika,Diskrétní matematika,Diszkrét matematika
9135,Disko,Disco,Diszkó
9136,Dyslexia,Dyslexie,Diszlexia
9137,Záliv svíň,Zátoka Sviní,Disznó-öböl
9138,Invázia v Zálive svíň,Invaze v zátoce Sviní,Disznó-öbölbeli invázió
9139,Sviňuchovité,Sviňuchovití,Disznódelfinfélék
9140,Disperzia,Disperze,Diszperzió (egyértelműsítő lap)
9141,Disperzia (elektromagnetické žiarenie),Disperze (vlnění),Diszperzió (optika)
9142,Dysprózium,Dysprosium,Diszprózium
9143,Antiutópia,Antiutopie,Disztópia
9144,Disulfiram,Disulfiram,Diszulfirám
9145,Dityramb,Dithyrambos,Dithürambosz
9146,Kornel Divald,Kornel Divald,Divald Kornél
9147,Karol Divald,Karol Divald,Divald Károly
9148,Móda,Móda,Divat
9149,Divergencia,Divergence (rozcestník),Divergencia (egyértelműsítő lap)
9150,Divergencia (vektorové pole),Divergence,Divergencia (vektoranalízis)
9151,Diverzifikácia,Diverzifikace,Diverzifikáció
9152,Rozdeľuj a panuj,Rozděl a panuj,Divide et impera
9153,Nitrianske Rudno (obec),Nitrianske Rudno,Divékrudnó
9154,Seč (okres Prievidza),Seč (okres Prievidza),Divékszécs
9155,Temeš,Temeš,Divéktemes
9156,Diviacka Nová Ves (okres Prievidza),Diviacka Nová Ves,Divékújfalu
9157,Divín (okres Lučenec),Divín (okres Lučenec),Divény
9158,Stará Huta (okres Detva),Stará Huta,Divényhuta
9159,Podkriváň,Podkriváň,Divényoroszi
9160,Dixmont,Dixmont (Yonne),Dixmont (Yonne)
9161,Diyarbakır,Diyarbakır,Diyarbakır (település)
9162,"Diana, princezná z Walesu",Princezna Diana,Diána walesi hercegné
9163,Dién,Alkadieny,Dién
9164,Orech (rod),Ořešák,Dió
9165,Dióda,Dioda,Dióda
9166,Orechovité,Ořešákovité,Diófafélék
9167,Dión Zlatoústy,Dión z Prúsy,Dión Khrüszosztomosz
9168,Dióné (bohyňa),Dióna,Dióné
9169,Orechová Potôň,Orechová Potôň,Diósförgepatony
9170,Orechová,Orechová,Dióska
9171,Sládkovičovo,Sládkovičovo,Diószeg (Szlovákia)
9172,DJ Tiësto,Tiësto,Dj. Tiësto
9173,Djaus,Djaus,Djausz Pita
9174,Dlhá nad Kysucou,Dlhá nad Kysucou,Dlhavölgy
9175,Dlhá Lúka,Dlhá Lúka,Dlhá Lúka (egyértelműsítő lap)
9176,Dlouhá Lhota (okres Blansko),Dlouhá Lhota (okres Blansko),Dlouhá Lhota (Blanskói járás)
9177,Dlouhá Lhota (okres Mladá Boleslav),Dlouhá Lhota (okres Mladá Boleslav),Dlouhá Lhota (Mladá Boleslav-i járás)
9178,Dlouhá Lhota (okres Příbram),Dlouhá Lhota (okres Příbram),Dlouhá Lhota (Příbrami járás)
9179,Dlouhá Lhota (okres Tábor),Dlouhá Lhota (okres Tábor),Dlouhá Lhota (Tábori járás)
9180,Dlouhá Lhota,Dlouhá Lhota,Dlouhá Lhota (egyértelműsítő lap)
9181,Dlouhá Loučka (okres Olomouc),Dlouhá Loučka (okres Olomouc),Dlouhá Loučka (Olomouci járás)
9182,Dlouhá Loučka (okres Svitavy),Dlouhá Loučka (okres Svitavy),Dlouhá Loučka (Svitavyi járás)
9183,Dlouhá Loučka,Dlouhá Loučka,Dlouhá Loučka (egyértelműsítő lap)
9184,Dlouhá Ves (okres Havlíčkův Brod),Dlouhá Ves (okres Havlíčkův Brod),Dlouhá Ves (Havlíčkův Brod-i járás)
9185,Dlouhá Ves (okres Klatovy),Dlouhá Ves (okres Klatovy),Dlouhá Ves (Klatovyi járás)
9186,Dlouhá Ves,Dlouhá Ves,Dlouhá Ves (egyértelműsítő lap)
9187,Dlhá nad Oravou,Dlhá nad Oravou,Dluha
9188,Dmitrij Anatolievič Medvedev,Dmitrij Medveděv,Dmitrij Anatoljevics Medvegyev
9189,Dmitrij Borisovič Kabalevskij,Dmitrij Kabalevskij,Dmitrij Boriszovics Kabalevszkij
9190,Dmitrij Dmitrijevič Šostakovič,Dmitrij Šostakovič,Dmitrij Dmitrijevics Sosztakovics
9191,Dmitrij Igorevič Tursunov,Dmitrij Tursunov,Dmitrij Igorevics Turszunov
9192,Dmitrij Ivanovič Mendelejev,Dmitrij Ivanovič Mendělejev,Dmitrij Ivanovics Mengyelejev
9193,Dmitrij Iosifovič Ivanovskij,Dmitrij Ivanovskij,Dmitrij Joszifovics Ivanovszkij
9194,Dmitrij Jurievič Kondratiev,Dmitrij Kondraťjev,Dmitrij Jurjevics Kondratyjev
9195,Dmytro Ivanovyč Kuleba,Dmytro Kuleba,Dmitro Ivanovics Kuleba
9196,Dneper,Dněpr,Dnyeper
9197,Dnester,Dněstr,Dnyeszter
9198,Podnestersko (neuznaný štát),Podněstří,Dnyeszter Menti Köztársaság
9199,Podnesterský rubeľ,Podněsterský rubl,Dnyeszter menti rubel
9200,Dnipro,Dnipro,Dnyipro
9201,Dnepropetrovská oblasť,Dněpropetrovská oblast,Dnyipropetrovszki terület
9202,Dniprovské metro,Metro v Dnipru,Dnyiprói metró
9203,Dornier Do 17,Dornier Do 17,Do 17
9204,Dornier Do 217,Dornier Do 217,Do 217
9205,Bubon (hudba),Buben,Dob (hangszer)
9206,Doba,Doba,Doba (egyértelműsítő lap)
9207,Doberman,Dobrman,Dobermann
9208,Dubno (okres Rimavská Sobota),Dubno (okres Rimavská Sobota),Dobfenek
9209,Bubnová brzda,Bubnová brzda,Dobfék
9210,István Dobi,István Dobi,Dobi István
9211,Dobrohošť (okres Dunajská Streda),Dobrohošť (okres Dunajská Streda),Doborgaz
9212,Dobra,Dobra,Dobra (egyértelműsítő lap)
9213,Potok (okres Rimavská Sobota),Potok (okres Rimavská Sobota),Dobrapatak
9214,Dobrič (mesto),Dobrič,Dobrics (város)
9215,Dobrič (oblasť),Dobričská oblast,Dobrics megye
9216,Dobrohošť (okres Jindřichův Hradec),Dobrohošť,Dobrohošť (Jindřichův Hradec-i járás)
9217,Dobrohošť,Dobrohošť (rozcestník),Dobrohošť (egyértelműsítő lap)
9218,Dobrá Niva (obec),Dobrá Niva,Dobronya
9219,Dobroslava (obec),Dobroslava (okres Svidník),Dobroszló
9220,Dobrudža,Dobrudža,Dobrudzsa
9221,Dobrá (okres Frýdek-Místek),Dobrá (okres Frýdek-Místek),Dobrá (Frýdek-místeki járás)
9222,Dobrá,Dobrá,Dobrá (egyértelműsítő lap)
9223,Dobrá Voda (okres Pelhřimov),Dobrá Voda (okres Pelhřimov),Dobrá Voda (Pelhřimovi járás)
9224,Dobrá Voda (okres Žďár nad Sázavou),Dobrá Voda (okres Žďár nad Sázavou),Dobrá Voda (Žďár nad Sázavou-i járás)
9225,Adolf Dobriansky,Adolf Ivanovič Dobriansky-Sačurov,Dobránszky Adolf
9226,Dúbravka (okres Michalovce),Dúbravka (okres Michalovce),Dobróka
9227,Podzámčok,Podzámčok,Dobróváralja
9228,Dobrčice (okres Přerov),Dobrčice,Dobrčice
9229,Dobšiná,Dobšiná,Dobsina
9230,Dobšinská ľadová jaskyňa,Dobšinská ledová jeskyně,Dobsinai-jégbarlang
9231,Dubové (okres Zvolen),Dubové (okres Zvolen),Dobó (település)
9232,Dubovec,Dubovec (Slovensko),Dobóca
9233,Hracia kocka,Hrací kostka,Dobókocka
9234,Ruská,Ruská,Dobóruszka
9235,Dobřany (okres Plzeň-juh),Dobřany,Dobřany (Dél-plzeňi járás)
9236,Dobřany (okres Rychnov nad Kněžnou),Dobřany (okres Rychnov nad Kněžnou),Dobřany (Rychnov nad Kněžnou-i járás)
9237,Dobřany,Dobřany (rozcestník),Dobřany (egyértelműsítő lap)
9238,Dobříč (okres Praha-západ),Dobříč (okres Praha-západ),Dobříč (Nyugat-prágai járás)
9239,Dobříč,Dobříč,Dobříč (egyértelműsítő lap)
9240,Dobříč (okres Plzeň-sever),Dobříč (okres Plzeň-sever),Dobříč (Észak-plzeňi járás)
9241,Dobšice (okres Nymburk),Dobšice (okres Nymburk),Dobšice (Nymburki járás)
9242,Dobšice (okres Znojmo),Dobšice (okres Znojmo),Dobšice (Znojmói járás)
9243,Dobšice,Dobšice,Dobšice (egyértelműsítő lap)
9244,Dobšice (okres České Budějovice),Dobšice (okres České Budějovice),Dobšice (České Budějovice-i járás)
9245,Docent,Docent,Docens
9246,Docker,Docker,Docker (szoftver)
9247,Doktor Strange (film),Doctor Strange (film),"Doctor Strange (film, 2016)"
9248,Dodekafónia,Dodekafonie,Dodekafónia
9249,Dodekanisa,Dodekany,Dodekanészosz
9250,Dodona,Dodóna,Dodona
9251,Dront nelietavý,Dronte mauricijský,Dodó
9252,Drontovité,Drontovití,Dodófélék
9253,Dogma,Dogma,Dogma (fogalom)
9254,Dogme 95,Dogme 95,Dogma-filmek
9255,Dogoni,Dogoni,Dogonok
9256,Dogs (Pink Floyd),Dogs,Dogs
9257,Dauha,Dauhá,Doha
9258,Medzinárodné letisko Dauha,Mezinárodní letiště Dauhá,Dohai nemzetközi repülőtér
9259,Ernest von Dohnány,Ernő Dohnányi,Dohnányi Ernő
9260,Vírus tabakovej mozaiky,Virus tabákové mozaiky,Dohánymozaikvírus
9261,Misaki Doiová,Misaki Doiová,Doi Miszaki
9262,Doketizmus,Doketismus,Doketizmus
9263,Scrubs," Doktůrci",Dokik
9264,Doksy (okres Kladno),Doksy (okres Kladno),Doksy (Kladnói járás)
9265,Doksy (okres Česká Lípa),Doksy,Doksy (Česká Lípa-i járás)
9266,Dr. House,Dr. House,Doktor House
9267,Dokumentárny film,Dokumentární film,Dokumentumfilm
9268,Textový procesor,Textový procesor,Dokumentumszerkesztő
9269,Dol,Dol (rozcestník),Dol (egyértelműsítő lap)
9270,Dolany (okres Kladno),Dolany (okres Kladno),Dolany (Kladnói járás)
9271,Dolany (okres Klatovy),Dolany (okres Klatovy),Dolany (Klatovyi járás)
9272,Dolany (okres Náchod),Dolany (okres Náchod),Dolany (Náchodi járás)
9273,Dolany (okres Olomouc),Dolany (okres Olomouc),Dolany (Olomouci járás)
9274,Dolany (okres Pardubice),Dolany (okres Pardubice),Dolany (Pardubicei járás)
9275,Dolany (okres Plzeň-sever),Dolany (okres Plzeň-sever),Dolany (Észak-plzeňi járás)
9276,Dolce,Dolce,Dolce (Dél-plzeňi járás)
9277,Dole,Dole (rozcestník),Dole (egyértelműsítő lap)
9278,Augustín Doležal,Augustín Doležal,Doleschal Ágoston
9279,Pavel Doležal,Pavel Doležal,Doleschall Pál (nyelvész)
9280,Internet vecí,Internet věcí,Dolgok internetje
9281,Dlhoňa,Dlhoňa,Dolgonya
9282,Dlhé,Dovhe,Dolha
9283,Dolina (rozlišovacia stránka),Dolina,Dolina (egyértelműsítő lap)
9284,Dolj,Dolj,Dolj megye
9285,Dollhouse (seriál),Dům loutek,Dollhouse - A felejtés ára
9286,Dollis Hill (stanica metra),Dollis Hill (stanice metra v Londýně),Dollis Hill metróállomás
9287,Dolly (ovca),Dolly (ovce),Dolly (birka)
9288,Dolly,Dolly,Dolly (egyértelműsítő lap)
9289,Dolly Partonová,Dolly Parton,Dolly Parton
9290,Čajka morská,Racek mořský,Dolmányos sirály
9291,Vrana popolavá,Vrána šedá,Dolmányos varjú
9292,Dolní Krupá (okres Havlíčkův Brod),Dolní Krupá (okres Havlíčkův Brod),Dolní Krupá (Havlíčkův Brod-i járás)
9293,Dolní Krupá (okres Mladá Boleslav),Dolní Krupá (okres Mladá Boleslav),Dolní Krupá (Mladá Boleslav-i járás)
9294,Dolní Krupá,Dolní Krupá,Dolní Krupá (egyértelműsítő lap)
9295,Dolní Lažany,Dolní Lažany,Dolní Lažany (Třebíči járás)
9296,Dolní Lhota (okres Ostrava-mesto),Dolní Lhota (okres Ostrava-město),Dolní Lhota (Ostrava városi járás)
9297,Dolní Lhota (okres Zlín),Dolní Lhota (okres Zlín),Dolní Lhota (Zlíni járás)
9298,Dolní Lhota,Dolní Lhota,Dolní Lhota (egyértelműsítő lap)
9299,Věstonická venuša,Věstonická venuše,Dolní Věstonice-i vénusz
9300,Dolní Újezd (okres Přerov),Dolní Újezd (okres Přerov),Dolní Újezd (Přerovi járás)
9301,Dolní Újezd (okres Svitavy),Dolní Újezd (okres Svitavy),Dolní Újezd (Svitavyi járás)
9302,Dolní Újezd,Dolní Újezd,Dolní Újezd (egyértelműsítő lap)
9303,Vec (filozofia),Věc (filosofie),Dolog (filozófia)
9304,Vecné právo (jednotlivé právo),Věcná práva,Dologi jog
9305,Dolomit (minerál),Dolomit,Dolomit
9306,Dolomit (hornina),Dolomit (hornina),Dolomitkő
9307,Dolomity,Dolomity,Dolomitok
9308,Doloplazy (okres Olomouc),Doloplazy (okres Olomouc),Doloplazy (Olomouci járás)
9309,Doloplazy (okres Prostějov),Doloplazy (okres Prostějov),Doloplazy (Prostějovi járás)
9310,Doloplazy,Doloplazy,Doloplazy (egyértelműsítő lap)
9311,Dolores O'Riordanová,Dolores O'Riordanová,Dolores O'Riordan
9312,Dolphin (softvér),Dolphin,Dolphin (fájlkezelő)
9313,Doľany (okres Levoča),Doľany (okres Levoča),Dolyán
9314,Dolany,Dolany,Dolány (egyértelműsítő lap)
9315,Systém názvov domén,Domain Name System,Domain Name System
9316,Domanín (okres Hodonín),Domanín (okres Hodonín),Domanín (Hodoníni járás)
9317,Domanín (okres Jindřichův Hradec),Domanín (okres Jindřichův Hradec),Domanín (Jindřichův Hradec-i járás)
9318,Domašov,Domašov,Domašov (Brno-vidéki járás)
9319,Domašín (okres Chomutov),Domašín (okres Chomutov),Domašín
9320,Okres Domažlice,Okres Domažlice,Domažlicei járás
9321,Zákopčie,Zákopčie,Dombelve
9322,Reliéf (sochárske dielo),Reliéf (sochařství),Dombormű
9323,Reliéf (geomorfológia),Reliéf (geografie),Domborzat
9324,Polom (Hnúšťa),Polom (Hnúšťa),Dombosmező
9325,Stožok,Stožok,Dombszög
9326,Dombóvársky okres,Okres Dombóvár,Dombóvári járás
9327,Dominát,Dominát,Dominatus
9328,Dominic Antonelli,Dominic Antonelli,Dominic Anthony Antonelli
9329,Dominikánska republika,Dominikánská republika,Dominikai Köztársaság
9330,Dominika (štát),Dominika,Dominikai Közösség
9331,Národné futbalové mužstvo Dominikánskej republiky,Dominikánská fotbalová reprezentace,Dominikai köztársasági labdarúgó-válogatott
9332,Dominické národné futbalové mužstvo,Dominická fotbalová reprezentace,Dominikai közösségi labdarúgó-válogatott
9333,Dominique Blancová,Dominique Blancová,Dominique Blanc
9334,Dominus,Dominus (hudební skupina),Dominus
9335,Domicián,Domitianus,Domitianus római császár
9336,Domitius Ulpianus,Ulpianus,Domitius Ulpianus
9337,Medzinárodné letisko Domodedovo,Letiště Moskva-Domodědovo,Domogyedovói nemzetközi repülőtér
9338,Rehoľa kazateľov,Řád bratří kazatelů,Domonkos-rend
9339,Domont (obec),Domont,Domont
9340,Domaňovce,Domaňovce,Dománfalva
9341,Domène (obec),Domène,Domène
9342,Donald Budge,Don Budge,Don Budge
9343,Don Leslie Lind,Don Lind,Don Leslie Lind
9344,Dômyselný rytier Don Quijote de la Mancha,Důmyslný rytíř Don Quijote de la Mancha,Don Quijote
9345,Donald Edward Williams,Donald Williams,Donald Edward Williams
9346,Donald Herold Peterson,Donald Peterson,Donald H. Peterson
9347,Donald Ervin Knuth,Donald Ervin Knuth,Donald Knuth
9348,Don Quarrie,Donald Quarrie,Donald Quarrie
9349,Donald R. McMonagle,Donald Ray McMonagle,Donald Ray McMonagle
9350,Donald Pettit,Donald Pettit,Donald Roy Pettit
9351,Deke Slayton,Donald Slayton,Donald Slayton
9352,Donald Thomas,Donald Thomas (atlet),Donald Thomas
9353,Donatizmus,Donatisté,Donatizmus
9354,Národný park Donau-Auen,Národní park Donau-Auen,Donau-Auen Nemzeti Park
9355,Doneck,Doněck,Doneck
9356,Donecká oblasť,Doněcká oblast,Donecki terület
9357,Donegal (grófstvo),Hrabství Donegal,Donegal megye
9358,Letisko Đồng Hới,Letiště Đồng Hới,Dong Hoi repülőtér
9359,Donský Sphynx,Donský sphynx,Doni szfinx
9360,Donjeux,Donjeux,Donjeux (egyértelműsítő lap)
9361,Donkey Kong (postava),Donkey Kong,Donkey Kong
9362,Donn Fulton Eisele,Donn Eisele,Donn Eisele
9363,Donna Reedová,Donna Reedová,Donna Reed
9364,Donna Stricklandová,Donna Stricklandová,Donna Strickland
9365,Donostia-San Sebastián,San Sebastián,Donostia-San Sebastián
9366,Donovan (rozlišovacia stránka),Donovan (rozcestník),Donovan (egyértelműsítő lap)
9367,Donovan,Donovan,Donovan (zenész)
9368,Donus,Donus,Donusz pápa
9369,Siverskyj Donec,Severní Doněc,Donyec
9370,Donecká pahorkatina,Doněcký masiv,Donyeci-hátság
9371,Donecká ľudová republika,Doněcká lidová republika,Donyecki Népköztársaság
9372,Dohňany,Dohňany,Donány
9373,Don't Forget (album),Don't Forget,Don't Forget
9374,Doolittlov nálet,Doolittlův nálet,Doolittle-rajtaütés
9375,Doom,Doom,"Doom (videójáték, 1993)"
9376,Doom 3: Resurrection of Evil," Resurrection of Evil"," Resurrection of Evil"
9377,Doom II: Hell on Earth,Doom II," Hell on Earth"
9378,Dopamín,Dopamin,Dopamin
9379,Dope (pieseň),Dope,Dope (Lady Gaga-dal)
9380,Doping,Doping,Dopping
9381,Dopplerov jav,Dopplerův jev,Doppler-effektus
9382,Dora,Dora,Dora (egyértelműsítő lap)
9383,Dordogne,Dordogne,Dordogne (egyértelműsítő lap)
9384,Dordogne (rieka),Dordogne (řeka),Dordogne (folyó)
9385,Dordogne (departement),Dordogne (departement),Dordogne (megye)
9386,Kengura Doriova,Klokan Doriův,Doria-kúszókenguru
9387,Portrét Doriana Graya,Obraz Doriana Graye,Dorian Gray arcképe
9388,Doris Day,Doris Dayová,Doris Day
9389,Doris Lessingová,Doris Lessingová,Doris Lessing
9390,Dornbirn (okres),Okres Dornbirn,Dornbirni járás
9391,Dorogský obvod,Okres Dorog,Dorogi kistérség
9392,Drumbľa,Brumle,Doromb
9393,Dorothea Wiererová,Dorothea Wiererová,Dorothea Wierer
9394,Dorothy Mary Hodgkinová,Dorothy Crowfoot Hodgkin,Dorothy Hodgkin
9395,Dorset (grófstvo),Dorset,Dorset
9396,Letisko Dortmund,Letiště Dortmund,Dortmundi repülőtér
9397,Internetová akciová bublina,Internetová horečka,Dotkomlufi
9398,Doubek (okres Praha-východ),Doubek (okres Praha-východ),Doubek (Kelet-prágai járás)
9399,Doubrava (okres Karviná),Doubrava (okres Karviná),Doubrava (Karvinái járás)
9400,Doubrava,Doubrava,Doubrava (egyértelműsítő lap)
9401,Doubravice (okres Strakonice),Doubravice (okres Strakonice),Doubravice (Strakonicei járás)
9402,Doubravice (okres Trutnov),Doubravice (okres Trutnov),Doubravice (Trutnovi járás)
9403,Doubravice,Doubravice,Doubravice (egyértelműsítő lap)
9404,Doubravice (okres České Budějovice),Doubravice (okres České Budějovice),Doubravice (České Budějovice-i járás)
9405,Doubs,Doubs,Doubs (egyértelműsítő lap)
9406,Doubs (rieka),Doubs (řeka),Doubs (folyó)
9407,Doubs (departement),Doubs (departement),Doubs (megye)
9408,Douchy,Douchy,Douchy (egyértelműsítő lap)
9409,Doudleby,Doudleby,Doudleby (České Budějovice-i járás)
9410,Douglas (Man),Douglas (Ostrov Man),Douglas (Man)
9411,Douglas,Douglas,Douglas (egyértelműsítő lap)
9412,Douglas Hurley,Douglas Hurley,Douglas Gerald Hurley
9413,Douglas Wheelock,Douglas Wheelock,Douglas Harry Wheelock
9414,Doupě,Doupě (okres Jihlava),Doupě
9415,Dourdan (obec),Dourdan,Dourdan
9416,Dover (Anglicko),Dover (Anglie),Dover (Anglia)
9417,Dover,Dover,Dover (egyértelműsítő lap)
9418,Calaiská úžina,Calaiská úžina,Doveri-szoros
9419,Dow Jones Industrial Average,Dow Jones Industrial Average,Dow Jones Ipari Átlag
9420,Kvark d,Kvark d,Down kvark
9421,Downov syndróm,Downův syndrom,Down-szindróma
9422,Blud (psychiatria),Blud,Doxazma
9423,Doxológia,Doxologie,Doxológia
9424,Dozimeter,Dozimetr,Doziméter
9425,Dozulé (obec),Dozulé,Dozulé
9426,Národný park Doñana,Doñana,Doñana Nemzeti Park
9427,Doľany,Doľany,Doľany (egyértelműsítő lap)
9428,Dots per inch,DPI,Dpi
9429,Kosti (seriál),Sběratelé kostí,Dr. Csont
9430,Dr. No (film),Dr. No,Dr. No
